timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
1629329.475;-2.92173913043;-3.82608695652;1.94782608696;-11.1892857143;3625.57714844;3609.05102539;3615.40722656;3606.50854492;3620.4921875;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-25.5321302075;-24.199375;305;3056;8589;929;317;2838;7973;921;291;2941;8293;811
1629331.475;-2.78260869565;-3.89565217391;1.87826086957;-11.1214285714;3624.3059082;3609.05102539;3614.13598633;3605.23730469;3619.22094727;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-25.5321302075;-24.199375;312;3140;8673;978;325;2974;8098;948;298;3046;8411;832
1629333.425;-2.78260869565;-3.89565217391;1.87826086957;-11.0571428571;3624.3059082;3609.05102539;3612.86474609;3605.23730469;3619.22094727;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-25.5321302075;-24.00796875;319;3253;8771;1017;333;3113;8236;996;306;3164;8531;855
1629335.425;-2.85217391304;-3.82608695652;1.80869565217;-11.2821428571;3623.03466797;3607.77978516;3612.86474609;3605.23730469;3619.22094727;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-25.5321302075;-24.00796875;326;3365;8880;1035;342;3238;8377;1034;314;3275;8630;888
1629337.975;-2.85217391304;-3.82608695652;1.87826086957;-11.1642857143;3623.03466797;3607.77978516;3611.59350586;3603.96606445;3619.22094727;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-24.6354177483;-23.8165625;336;3508;9018;1065;354;3372;8541;1046;324;3421;8756;976
1629339.925;-2.85217391304;-3.82608695652;1.87826086957;-11.1035714286;3623.03466797;3607.77978516;3611.59350586;3603.96606445;3617.94970703;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-24.6354177483;-23.8165625;344;3626;9112;1114;364;3458;8650;1053;334;3540;8849;1110
1629341.925;-2.85217391304;-3.82608695652;1.80869565217;-11.1535714286;3621.76342773;3607.77978516;3610.32226562;3603.96606445;3617.94970703;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-24.6354177483;-23.8165625;353;3751;9212;1180;375;3534;8759;1076;344;3652;8938;1270
1629345.475;-2.92173913043;-3.82608695652;1.87826086957;-11.2357142857;3621.76342773;3606.50854492;3610.32226562;3603.96606445;3617.94970703;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-24.6354177483;-23.62515625;372;3954;9403;1266;397;3696;8968;1169;364;3868;9093;1423
1629347.475;-2.85217391304;-3.82608695652;1.87826086957;-11.1571428571;3620.4921875;3606.50854492;3610.32226562;3603.96606445;3617.94970703;True;0;0;-24.6354177483;-23.735365578;-22.8319550041;-24.6354177483;-23.62515625;384;4063;9500;1273;411;3795;9069;1237;376;4003;9176;1432
1629349.425;-2.85217391304;-3.75652173913;1.87826086957;-11.1392857143;3620.4921875;3606.50854492;3610.32226562;3602.69482422;3617.94970703;True;0;0;-24.6354177483;-22.8319550041;-22.8319550041;-24.6354177483;-23.43375;397;4174;9603;1271;425;3907;9174;1301;389;4116;9253;1435
