11:27:30 Sail experiment chunk 0
X: -2.09 	 Y: -3.48 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.48 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.62 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.32 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.46 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.02 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C

11:27:30 Sail experiment chunk 1
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.62 	 Z: 1.46 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.16 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.02 	 Y: -3.55 	 Z: 1.46 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.02 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.9 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.09 	 Y: -3.55 	 Z: 1.46 */s 	 SAIL NOT OPEN 	 -5.7 *C

11:27:31 Sail experiment chunk 2
X: -2.09 	 Y: -3.62 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.09 	 Y: -3.62 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.16 	 Y: -3.62 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.16 	 Y: -3.62 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.09 	 Y: -3.55 	 Z: 1.46 */s 	 SAIL NOT OPEN 	 -5.7 *C
X: -2.02 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.4 *C
X: -2.09 	 Y: -3.55 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -5.4 *C
X: -4.80 	 Y: 104.28 	 Z: 165.15 */s 	 SAIL NOT OPEN 	 -5.4 *C
X: 64.49 	 Y: 6.05 	 Z: 59.13 */s 	 SAIL NOT OPEN 	 -5.4 *C

11:27:31 Sail experiment chunk 3
X: 2.43 	 Y: 39.37 	 Z: -28.17 */s 	 SAIL NOT OPEN 	 -5.4 *C
X: 21.77 	 Y: -15.79 	 Z: 24.49 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: -11.48 	 Y: -24.97 	 Z: 9.60 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: -17.25 	 Y: 14.54 	 Z: -4.31 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: -0.83 	 Y: 16.00 	 Z: 8.42 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: 14.26 	 Y: -19.27 	 Z: 0.00 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: -5.91 	 Y: -16.21 	 Z: 9.53 */s 	 SAIL NOT OPEN 	 -5.2 *C
X: -16.90 	 Y: 11.27 	 Z: 2.64 */s 	 SAIL NOT OPEN 	 -4.9 *C
X: -2.02 	 Y: 6.54 	 Z: -11.41 */s 	 SAIL NOT OPEN 	 -4.9 *C

11:27:32 Sail experiment chunk 4
X: -11.69 	 Y: 5.57 	 Z: 0.21 */s 	 SAIL NOT OPEN 	 -4.9 *C
X: -13.22 	 Y: 4.24 	 Z: -7.51 */s 	 SAIL NOT OPEN 	 -4.9 *C
X: 3.55 	 Y: -15.10 	 Z: 8.00 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: 5.84 	 Y: -11.06 	 Z: 9.04 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: -8.07 	 Y: 6.61 	 Z: -10.99 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: -9.25 	 Y: 0.42 	 Z: -1.18 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: 0.70 	 Y: -14.12 	 Z: 9.18 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: 2.71 	 Y: -5.29 	 Z: 2.50 */s 	 SAIL NOT OPEN 	 -4.7 *C
X: -4.52 	 Y: 6.26 	 Z: 0.00 */s 	 SAIL NOT OPEN 	 -4.5 *C

11:27:32 Sail experiment chunk 5
X: -0.90 	 Y: 1.60 	 Z: -0.14 */s 	 SAIL NOT OPEN 	 -4.5 *C
X: -3.97 	 Y: 2.02 	 Z: 1.60 */s 	 SAIL NOT OPEN 	 -4.5 *C
X: -5.57 	 Y: -10.64 	 Z: -0.42 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: -4.24 	 Y: -8.49 	 Z: 4.31 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: 2.71 	 Y: 1.88 	 Z: 1.60 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: -1.60 	 Y: -0.77 	 Z: 1.18 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: -5.36 	 Y: -6.96 	 Z: 3.41 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: -5.91 	 Y: -6.68 	 Z: 0.56 */s 	 SAIL NOT OPEN 	 -4.2 *C
X: -2.99 	 Y: -1.25 	 Z: 3.69 */s 	 SAIL NOT OPEN 	 -4.0 *C

11:27:33 Sail experiment chunk 6
X: -3.41 	 Y: -6.33 	 Z: 2.30 */s 	 SAIL NOT OPEN 	 -4.0 *C
X: -5.29 	 Y: -4.45 	 Z: -0.21 */s 	 SAIL NOT OPEN 	 -4.0 *C
X: -4.87 	 Y: -1.74 	 Z: 4.24 */s 	 SAIL NOT OPEN 	 -4.0 *C
X: -2.37 	 Y: -2.09 	 Z: 0.42 */s 	 SAIL NOT OPEN 	 -3.7 *C
X: -1.88 	 Y: -4.73 	 Z: 0.97 */s 	 SAIL NOT OPEN 	 -3.7 *C
