128 days, 7:29:07.300000;33;7939398;13819060;13766801;13839690;2030;2663;
128 days, 7:29:32.550000;33;7960216;13818910;13766705;13839604;2031;2660;
128 days, 7:29:51.350000;33;8001442;13818910;13766673;13839555;2032;2658;
128 days, 7:30:10.250000;33;8363847;13818809;13766593;13839363;2032;2656;
128 days, 7:30:29.100000;33;8762302;13818773;13766534;13839405;2033;2654;
128 days, 7:30:48.100000;33;8926582;13818661;13766440;13839374;2034;2652;
128 days, 7:31:06.950000;33;8939731;13818583;13766399;13839194;2034;2650;
128 days, 7:31:25.800000;33;8929417;13818522;13766389;13839184;2035;2648;
128 days, 7:31:44.650000;33;8864488;13818505;13766202;13838961;2035;2646;
128 days, 7:32:03.500000;33;8647074;13818237;13766262;13838924;2036;2644;
128 days, 7:32:22.350000;33;8353004;13818175;13766052;13838787;2037;2641;
128 days, 7:32:41.200000;33;8283674;13818113;13766009;13838769;2037;2639;
128 days, 7:33:00.200000;33;8403343;13818091;13765993;13838616;2038;2636;
128 days, 7:33:19.050000;33;8706309;13817936;13765864;13838464;2038;2634;
128 days, 7:33:37.900000;33;8793339;13817657;13765749;13838342;2039;2631;
128 days, 7:33:56.750000;33;8807306;13817677;13765588;13838186;2040;2628;
128 days, 7:34:15.650000;33;8852753;13817450;13765493;13837963;2041;2624;
128 days, 7:34:34.500000;33;8848564;13817166;13765219;13837833;2042;2620;
128 days, 7:34:53.400000;33;8841368;13817048;13765099;13837498;2043;2614;
128 days, 7:35:12.300000;33;8855215;13816797;13764908;13837433;2044;2610;
128 days, 7:36:00.125000;33;8787654;13816670;13764733;13837201;2045;2606;
128 days, 7:36:19.875000;33;8772591;13816382;13764355;13837008;2047;2595;
128 days, 7:36:38.775000;33;8865953;13816092;13764083;13836673;2048;2598;
128 days, 7:36:57.725000;33;8864177;13815835;13763923;13836316;2049;2599;
128 days, 7:37:16.675000;33;8864772;13815794;13763815;13836440;2049;2599;
128 days, 7:37:35.625000;33;8867745;13815704;13763789;13836386;2050;2599;
128 days, 7:37:54.625000;33;8834714;13815704;13763786;13836465;2051;2599;
128 days, 7:38:13.575000;33;8859446;13815744;13763784;13836376;2051;2599;
128 days, 7:38:32.575000;33;8861585;13815659;13763745;13836285;2052;2599;
128 days, 7:38:51.525000;33;8858517;13815641;13763745;13836336;2052;2599;
128 days, 7:39:10.475000;33;8854609;13815708;13763717;13836271;2052;2600;
128 days, 7:39:29.475000;33;8837326;13815759;13763849;13836275;2052;2599;
128 days, 7:39:48.425000;33;8833409;13815713;13763791;13836292;2053;2599;
128 days, 7:40:07.425000;33;8839209;13815549;13763751;13836215;2053;2599;
