timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
364906.375;-2.64347826087;-3.89565217391;1.39130434783;-7.06785714286;2590.78759766;2290.77490234;2395.01660156;2500.52954102;3556.93017578;True;0;0;13.3686911097;13.3686911097;14.4279947554;12.3136246787;11.21078125;15794;19312;17304;14038;15680;19157;16535;13766;16384;19579;17510;14195
364911.175;-2.64347826087;-3.9652173913;1.39130434783;-7.06071428571;2590.78759766;2286.96118164;2373.40551758;2514.51318359;3554.38769531;True;0;0;14.4279947554;14.4279947554;14.4279947554;12.3136246787;11.59359375;15771;19479;17018;13786;15589;19172;16314;13534;16309;19736;17246;13922
364915.975;-2.50434782609;-3.9652173913;1.39130434783;-6.98571428571;2592.05883789;2294.58862305;2358.15063477;2532.31054688;3554.38769531;True;0;0;14.4279947554;14.4279947554;14.4279947554;13.3686911097;12.1678125;15742;19548;16679;13551;15572;19030;16080;13356;16262;19939;16930;13683
364920.775;-2.57391304348;-3.89565217391;1.39130434783;-7.02857142857;2594.60131836;2311.11474609;2347.98071289;2552.65039062;3553.11645508;True;0;0;14.4279947554;15.4915611923;15.4915611923;13.3686911097;12.550625;15774;19536;16355;13218;15552;18893;15848;13174;16276;19862;16527;13408
364926.925;-2.57391304348;-3.9652173913;1.32173913043;-6.92142857143;2597.14379883;2325.09838867;2332.72583008;2575.53271484;3553.11645508;True;0;0;15.4915611923;15.4915611923;15.4915611923;14.4279947554;12.9334375;15797;19624;16047;12944;15532;18826;15439;12864;16199;19794;16133;13107
364931.725;-2.57391304348;-3.89565217391;1.32173913043;-6.94642857143;2598.41503906;2337.81079102;2322.5559082;2592.05883789;3551.84521484;True;0;0;15.4915611923;15.4915611923;15.4915611923;14.4279947554;13.31625;15776;19699;15876;12805;15481;18853;15176;12650;16110;19750;15914;12916
364936.525;-2.50434782609;-3.9652173913;1.39130434783;-6.95357142857;2599.6862793;2350.52319336;2313.65722656;2608.58496094;3550.57397461;True;0;0;15.4915611923;15.4915611923;15.4915611923;14.4279947554;13.6990625;15786;19773;15644;12643;15421;18856;14998;12399;16134;19630;15786;12790
364942.475;-2.64347826087;-3.82608695652;1.39130434783;-6.74642857143;2599.6862793;2367.04931641;2302.21606445;2626.38232422;3550.57397461;True;0;0;16.5594162037;16.5594162037;16.5594162037;15.4915611923;14.081875;15832;19705;15461;12462;15435;18902;14763;12197;16251;19580;15562;12610
364947.275;-2.50434782609;-3.82608695652;1.46086956522;-6.92142857143;2598.41503906;2381.03295898;2294.58862305;2640.3659668;3549.30273438;True;0;0;16.5594162037;16.5594162037;16.5594162037;15.4915611923;14.4646875;15811;19623;15219;12297;15520;18937;14606;12116;16276;19567;15336;12486
364952.075;-2.57391304348;-3.82608695652;1.39130434783;-6.575;2598.41503906;2395.01660156;2288.23242188;2654.34960938;3549.30273438;True;0;0;16.5594162037;16.5594162037;16.5594162037;15.4915611923;14.8475;15823;19548;15127;12142;15558;18980;14463;11944;16300;19485;15046;12389
364957.525;-2.50434782609;-3.82608695652;1.46086956522;-6.52142857143;2597.14379883;2410.27148438;2281.8762207;2667.06201172;3549.30273438;True;0;0;17.6315857807;17.6315857807;16.5594162037;15.4915611923;15.2303125;15891;19439;14919;12066;15559;19015;14189;11825;16278;19334;14900;12260
364962.325;-2.50434782609;-3.75652173913;1.39130434783;-6.70714285714;2595.87255859;2422.98388672;2276.79125977;2678.50317383;3548.03149414;True;0;0;17.6315857807;17.6315857807;17.6315857807;16.5594162037;15.42171875;15871;19324;14683;12018;15607;18965;14117;11765;16277;19120;14682;12180
364967.125;-2.50434782609;-3.75652173913;1.46086956522;-6.66071428571;2593.33007812;2435.69628906;2271.70629883;2688.6730957;3548.03149414;True;0;0;17.6315857807;17.6315857807;17.6315857807;16.5594162037;15.80453125;15844;19256;14526;11951;15619;18883;13925;11704;16388;18920;14550;12111
364973.175;-2.4347826087;-3.75652173913;1.46086956522;-6.875;2590.78759766;2450.95117188;2264.07885742;2700.11425781;3548.03149414;True;0;0;18.7080961252;18.7080961252;17.6315857807;16.5594162037;16.18734375;15864;19162;14223;11881;15718;18708;13759;11632;16524;18800;14437;12018
364977.975;-2.50434782609;-3.75652173913;1.53043478261;-6.58571428571;2588.24511719;2462.39233398;2258.99389648;2707.74169922;3546.76025391;True;0;0;18.7080961252;18.7080961252;18.7080961252;16.5594162037;16.37875;15948;19079;14044;11837;15742;18612;13606;11579;16578;18731;14282;11965
