timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
4900065.925;-2.15652173913;-2.85217391304;1.39130434783;-9.04285714286;3607.77978516;3593.79614258;3601.42358398;3589.98242188;3605.23730469;True;0;0;-15.4676669908;-14.5303097822;-15.4676669908;-16.4014803159;-14.6290625;316;150;46;117;314;151;45;118;326;145;48;115
4900070.725;-2.15652173913;-2.92173913043;1.46086956522;-9.025;3607.77978516;3592.52490234;3601.42358398;3589.98242188;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-15.4676669908;-16.4014803159;-14.6290625;292;135;39;111;290;137;38;111;300;131;41;108
4900075.525;-2.15652173913;-2.99130434783;1.46086956522;-9.08214285714;3607.77978516;3593.79614258;3601.42358398;3589.98242188;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-15.4676669908;-17.3317698171;-14.6290625;267;122;35;104;265;124;34;103;275;119;36;99
4900080.325;-2.01739130435;-3.06086956522;1.32173913043;-9.06071428571;3609.05102539;3593.79614258;3602.69482422;3589.98242188;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-15.4676669908;-17.3317698171;-14.6290625;252;115;33;98;251;116;31;98;259;112;33;94
4900086.175;-2.01739130435;-2.99130434783;1.32173913043;-8.95714285714;3609.05102539;3593.79614258;3602.69482422;3589.98242188;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-15.4676669908;-17.3317698171;-14.82046875;231;106;31;91;229;107;29;90;237;103;31;88
4900090.975;-2.08695652174;-2.99130434783;1.39130434783;-8.93214285714;3610.32226562;3593.79614258;3603.96606445;3591.25366211;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-16.4014803159;-17.3317698171;-14.82046875;213;99;29;84;211;100;28;83;219;96;29;82
4900095.775;-2.01739130435;-2.99130434783;1.32173913043;-9.0;3610.32226562;3595.06738281;3603.96606445;3591.25366211;3603.96606445;True;0;0;-16.4014803159;-15.4676669908;-16.4014803159;-17.3317698171;-14.82046875;196;93;28;78;193;94;26;78;200;90;27;76
4900101.725;-2.08695652174;-3.06086956522;1.32173913043;-8.94285714286;3610.32226562;3595.06738281;3605.23730469;3591.25366211;3605.23730469;True;0;0;-16.4014803159;-15.4676669908;-16.4014803159;-17.3317698171;-14.82046875;177;84;26;71;175;85;24;71;182;82;25;71
4900106.525;-2.01739130435;-3.06086956522;1.25217391304;-8.97142857143;3611.59350586;3596.33862305;3605.23730469;3591.25366211;3605.23730469;True;0;0;-16.4014803159;-15.4676669908;-16.4014803159;-17.3317698171;-15.011875;158;76;24;65;156;77;23;65;163;74;24;63
4900111.325;-2.01739130435;-3.13043478261;1.25217391304;-8.82857142857;3611.59350586;3596.33862305;3606.50854492;3591.25366211;3605.23730469;True;0;0;-16.4014803159;-16.4014803159;-16.4014803159;-17.3317698171;-15.011875;141;67;21;59;140;67;20;58;143;65;21;58
