timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
623484.35;-2.29565217391;-3.89565217391;1.53043478261;-7.06071428571;3066.23144531;2706.47045898;3169.2019043;2433.15380859;3551.84521484;True;0;0;15.4915611923;15.4915611923;16.5594162037;15.4915611923;14.4646875;6939;6036;18988;12647;6952;9820;17639;12349;7245;10731;18418;13202
623489.15;-2.22608695652;-3.89565217391;1.53043478261;-6.93571428571;3078.94384766;2696.30053711;3169.2019043;2444.5949707;3550.57397461;True;0;0;15.4915611923;16.5594162037;16.5594162037;15.4915611923;14.8475;6774;10750;18830;12403;6723;10141;17707;12172;7083;10884;18259;12836
623493.95;-2.29565217391;-3.9652173913;1.46086956522;-6.98214285714;3089.11376953;2686.13061523;3170.47314453;2458.57861328;3550.57397461;True;0;0;15.4915611923;16.5594162037;16.5594162037;15.4915611923;14.8475;6617;10674;18741;12140;6621;10039;17705;11914;6929;10879;11788;12463
623498.75;-2.22608695652;-3.89565217391;1.53043478261;-7.01428571429;3099.28369141;2675.96069336;3169.2019043;2475.10473633;3550.57397461;True;0;0;15.4915611923;16.5594162037;16.5594162037;15.4915611923;15.03890625;6362;10655;18581;11890;6525;9967;8013;11573;6689;10896;18236;12085
623504.1;-2.22608695652;-3.9652173913;1.53043478261;-7.01071428571;3110.72485352;2663.24829102;3167.93066406;2491.63085938;3550.57397461;True;0;0;15.4915611923;16.5594162037;16.5594162037;15.4915611923;15.2303125;6081;10661;17188;11533;6201;9957;17486;11142;5946;10877;18125;11723
623508.9;-2.29565217391;-3.9652173913;1.53043478261;-7.05;3119.62353516;2653.07836914;3166.65942383;2508.15698242;3550.57397461;True;0;0;15.4915611923;16.5594162037;17.6315857807;15.4915611923;15.42171875;4241;10608;18152;11181;6117;9946;17383;10830;6281;10850;17958;11421
623513.7;-2.29565217391;-3.9652173913;1.53043478261;-6.98928571429;3128.5222168;2641.63720703;3165.38818359;2523.41186523;3550.57397461;True;0;0;15.4915611923;16.5594162037;17.6315857807;15.4915611923;15.42171875;5697;10596;18084;10859;6000;9910;17241;10613;6103;10864;17829;11068
623519.65;-2.29565217391;-3.9652173913;1.39130434783;-6.98571428571;3138.69213867;2628.92480469;3162.84570312;2545.02294922;3549.30273438;True;0;0;15.4915611923;16.5594162037;17.6315857807;15.4915611923;15.613125;5510;10630;18028;10441;5750;9934;17056;10154;5959;10876;17779;10614
623524.45;-2.22608695652;-3.9652173913;1.46086956522;-6.83928571429;3147.59082031;2618.75488281;3160.30322266;2562.8203125;3550.57397461;True;0;0;15.4915611923;16.5594162037;17.6315857807;15.4915611923;15.613125;5314;10655;17931;10108;5490;10099;16839;9906;5815;10901;17699;10274
623529.25;-2.22608695652;-3.9652173913;1.39130434783;-6.66785714286;3156.48950195;2607.3137207;3157.76074219;2579.34643555;3549.30273438;True;0;0;15.4915611923;16.5594162037;17.6315857807;15.4915611923;15.613125;5134;10695;17720;9919;5217;10096;16613;9727;5574;10948;17476;10045
